CALL_OI_chng,CALL_OI,CALL_Volume,CALL_ITM_prob,CALL_LTP,CALL_CHNG,Strike,PUT_CHNG,PUT_LTP,PUT_Volume,PUT_IV,PUT_ITM_prob,PUT_OI_chng,PUT_OI
0,0,1,100,7812.4,0,12000,0,0,0,0,0,0,0
4,10460,94,100,6895.85,-148.15,13000,-0.05,2.65,36.95,0,103,4687,-11
1,186,4,100,5965,74.15,14000,-0.4,5.1,33.4,0,17,422,-13
-116,2886,134,100,4936.7,-179.85,15000,0.95,9.4,29.73,0,244,3570,-78
31,6566,235,99.9,3958.8,-142.85,16000,1.15,15.7,25.65,0,671,12068,16
4,2303,31,99.8,2995.05,-144.55,17000,-0.6,20.15,20.42,0.1,1519,29024,28
0,0,0,0,0,0,17450,4,25.25,18.41,0,3,36,1
2,275,15,99.3,2489.25,-151.75,17500,-0.6,23.45,17.84,0.6,684,2121,2
0,0,0,0,0,0,17550,0,21.45,17.24,0,5,56,0
0,0,0,0,0,0,17600,4.5,27.25,17.72,0,1,162,0
0,0,0,0,0,0,17650,-15.35,16,15.76,0,1,51,0
0,0,0,0,0,0,17700,0.3,26.6,17,0,80,391,10
0,0,0,0,0,0,17750,0,31.25,17.24,0,8,90,0
0,0,0,0,0,0,17800,1.1,27.9,16.52,0,247,1517,53
0,0,0,0,0,0,17850,-11.9,21.65,15.41,0,64,65,25
0,0,0,0,0,0,17900,-1.4,32.55,16.4,0,587,1126,72
0,0,0,0,0,0,17950,2.15,34.7,16.3,0,30,110,16
7,10121,367,97.5,2029.1,-156.85,18000,-1.2,36.8,16.17,2.4,4276,35134,-596
0,0,0,0,0,0,18050,-7.75,35.6,15.72,0,18,114,12
0,0,0,0,0,0,18100,3.3,37.5,15.57,0,687,1571,179
0,0,0,0,0,0,18150,-4.3,38.85,15.36,0,28,44,-7
0,0,0,0,0,0,18200,-0.85,37.7,14.92,0,598,2968,192
0,0,0,0,0,0,18250,0.65,42.25,14.98,0,42,172,0
0,0,0,0,0,0,18300,-1.6,41.05,14.53,0,747,3293,294
0,0,0,0,0,0,18350,4.55,46.8,14.66,0,63,101,21
0,6,2,94,1413.05,0,18400,-1.9,46.25,14.26,5.9,1470,3144,279
0,0,0,0,0,0,18450,5.15,54.3,14.5,0,50,89,13
16,410,83,92.7,1565.05,-132.9,18500,0.35,56.55,14.3,7.2,3210,10256,779
0,0,0,0,0,0,18550,0.45,61.45,14.26,0,11,113,1
0,0,0,0,0,0,18600,1.7,61.6,13.9,0,899,2942,139
0,0,0,0,0,0,18650,0.8,65.5,13.77,0,82,135,29
0,40,1,89.6,1350,0,18700,3,68.15,13.55,10.3,1055,2803,576
0,13,10,88.6,1129.25,0,18750,6.8,77.55,13.71,11.3,30,155,10
0,39,12,87.7,1200.05,0,18800,3.35,77.9,13.34,12.2,1967,3178,257
0,7,1,86.6,1025.3,0,18850,0,85,13.32,13.3,13,105,0
0,7,1,85.6,920.85,0,18900,7.9,93.25,13.33,14.4,812,1683,385
0,0,0,0,0,0,18950,-0.45,96,13.05,0,6,74,4
-130,16110,1361,83.2,1105.6,-150.1,19000,9.35,109.85,13.28,16.7,7430,25065,410
0,15,1,82,1034.7,0,19050,10.3,116.55,13.15,17.9,34,136,23
0,135,8,80.7,1162.35,0,19100,12.05,122.2,12.95,19.2,521,1107,48
1,10,3,79.3,978.85,41.35,19150,1.05,126.05,12.67,20.6,23,81,10
-12,154,25,77.9,936,-132.6,19200,13.45,136.9,12.66,22,1582,2892,-99
0,54,1,76.5,881.65,0,19250,8.7,138.5,12.26,23.4,7,67,-4
5,192,17,75,864.25,-143.05,19300,13.8,153.4,12.36,24.9,985,2411,289
0,69,1,73.4,800,-155.35,19350,16.8,166.45,12.35,26.5,10,30,-10
-58,422,134,71.9,799.9,-120.1,19400,20.05,179.25,12.31,28.1,828,2019,-257
0,66,2,70.2,819.25,69.75,19450,21.4,189.75,12.17,29.7,47,88,-15
-199,3232,816,68.6,717.8,-126.9,19500,23.45,202.55,12.08,31.3,4099,10003,589
1,72,3,66.9,708.8,-51.2,19550,20,210,11.79,33,23,94,-18
-13,482,216,65.1,647.35,-119.95,19600,28.85,232.65,11.97,34.8,825,1845,275
0,107,2,63.4,695,0,19650,14.35,254.45,12.09,36.5,13,138,-1
18,1051,639,61.6,579.95,-114.85,19700,35,264.85,11.83,38.3,1376,2372,580
1,178,51,59.8,539.95,-117.75,19750,51.45,293.3,12.09,40.1,34,94,-1
101,1113,1139,58,514.45,-112.2,19800,41.45,300.45,11.68,41.9,1665,2314,325
-9,77,44,56.1,511.2,-67.4,19850,50.15,322.55,11.69,43.8,8,39,0
-116,612,631,54.3,449.4,-112.3,19900,46.05,336.85,11.45,45.6,326,660,34
-6,94,38,52.5,420,-112.55,19950,44.05,347.65,11.07,47.4,59,73,31
-623,14658,4502,50.6,398.85,-97.8,20000,48.1,372.55,11.08,49.3,5074,10465,308
-6,56,22,48.8,350,-126.2,20050,49.25,394.15,10.97,51.1,9,29,-2
853,1525,1447,46.9,342.75,-94.5,20100,57.65,424.45,11.07,53,67,161,-13
0,57,12,45.1,326.55,-91,20150,0,386.8,9.16,54.8,35,38,0
62,1541,1194,43.3,295.35,-87.05,20200,73.2,480.85,11.07,56.6,159,269,23
22,76,35,41.5,260.65,-102.4,20250,10.95,465.55,9.73,58.4,1,20,1
163,708,446,39.8,249.25,-82.8,20300,90.45,545,11.18,60.1,36,68,10
6,20,7,38,250.05,-62.65,20350,0,477.5,8.09,61.9,41,38,0
30,728,413,36.3,210,-73.45,20400,96.8,600,10.9,63.6,35,96,8
0,0,0,0,0,0,20450,76.95,607.45,10.05,0,1,51,0
849,6308,4218,33,176.7,-63.95,20500,82.4,642.15,10.03,66.9,1292,1910,85
0,0,0,0,0,0,20550,0,584.5,6.46,0,9,9,0
41,324,439,29.8,142.25,-58,20600,0,0,0,70.1,0,0,0
0,33,49,28.2,179.15,0,20650,0,0,0,71.7,0,0,0
-6,542,349,26.7,118.1,-52.55,20700,0,0,0,73.2,0,0,0
3,128,53,25.3,110.9,-44.45,20750,0,0,0,74.6,0,0,0
59,117,182,23.9,98.75,-42.25,20800,0,0,0,76,0,0,0
53,157,196,21.2,82.45,-36.6,20900,0,0,0,78.7,0,0,0
581,9022,6689,18.8,69.9,-30.35,21000,117.1,1020.6,8.82,81.1,301,1909,16
112,279,382,14.4,49.1,-19.75,21200,0,0,0,85.5,0,0,0
0,325,646,9.3,30.55,0,21500,0,0,0,90.6,0,0,0
125,8678,2064,4,19,-1.75,22000,142.15,1941.25,0,95.9,826,10534,-85
132,1554,910,0.5,10.35,-1.2,23000,130,2895.05,0,99.4,201,412,191
48,286,251,0,9.2,0.85,24000,0,0,0,99.9,0,0,0
